;com.drugguide.quiz;com.hamzaus.ncp.Heart_Failure;com.magna.pregnency;com.mdhelper.cardiojournal;com.peirr.bloodapp;com.strategeens.drugnotes;com.szyk.myheart;depression.symptoms.signs;org.fruct.yar.healthysleepdiary;org.urruti.WebClinicCalc;sa.edu.pillalarms;
CH22;0;1;0;0;0;0;1;0;0;0;0;
CH23;0;0;0;0;0;0;1;1;0;0;0;
CH310;0;0;0;0;0;0;0;0;0;0;0;
CH312;0;0;0;0;0;0;0;0;0;0;0;
CH33;0;1;1;1;0;1;1;0;1;0;0;
CH34;0;0;0;0;0;0;0;0;0;0;0;
CH35;0;1;1;0;0;1;1;0;1;0;0;
CH36;0;0;0;0;0;0;0;0;0;0;0;
CH37;0;0;0;0;0;0;0;0;0;0;0;
CH38;0;0;0;0;0;0;0;0;0;0;0;
CH39;1;1;1;1;1;1;1;0;1;0;0;
CH43;0;0;0;0;0;0;0;0;0;0;0;
CH44;0;0;0;1;0;1;1;1;0;0;0;
CI211;0;0;0;0;0;0;0;0;0;0;0;
CI212;0;0;0;0;0;0;0;0;0;0;0;
CI213;0;0;0;0;0;0;0;0;0;0;0;
CI214;0;0;0;0;0;0;0;0;0;0;0;
CI221;0;0;0;0;0;0;0;0;0;0;0;
CI222;0;0;0;0;0;0;0;0;0;0;0;
CI223;0;0;0;0;0;0;0;0;0;0;0;
CI231;0;0;0;0;0;0;0;0;0;0;0;
CI242;0;0;0;0;1;0;0;1;0;0;0;
CI243;1;0;0;0;0;0;0;0;0;0;0;
CI311;0;0;0;1;0;0;1;0;0;0;0;
CI312;1;1;1;1;1;0;1;0;1;0;0;
CI314;0;1;1;1;1;1;1;0;1;1;1;
CI315;0;0;0;0;0;0;0;0;0;0;0;
CI321;0;0;0;0;0;0;0;0;0;0;0;
CI322;0;0;0;0;0;0;0;0;0;0;0;
CI323;0;0;0;0;0;0;0;0;0;0;0;
CI324;0;0;0;0;0;0;0;0;0;0;0;
CI325;0;0;0;0;0;0;0;0;0;0;0;
CI326;0;0;0;0;0;0;0;0;0;0;0;
CI333;0;0;0;0;0;0;0;0;0;0;0;
CI335;0;0;0;0;0;1;0;0;0;0;0;
CI341;0;0;0;0;0;0;0;0;0;0;0;
CI343;0;0;0;0;0;0;0;0;0;0;0;
CI344;0;0;0;0;0;0;0;0;0;0;0;
CI345;0;0;0;0;0;0;0;0;0;0;0;
CI346;0;0;0;0;0;0;0;0;0;0;0;

